filename; result; heuristic; depth
j3010_1.sm; 100; 2; 1
j3010_1.sm; 1162; 0; 0
j3010_1.sm; 42; Optimal; Time
j3010_1.sm; 57; 10; 2
j3010_1.sm; 57; 10; 3
j3010_1.sm; 57; 9; 2
j3010_1.sm; 57; 9; 3
j3010_1.sm; 59; 10; 4
j3010_1.sm; 59; 9; 4
j3010_1.sm; 60; 11; 0
j3010_1.sm; 60; 11; 1
j3010_1.sm; 60; 11; 2
j3010_1.sm; 60; 11; 3
j3010_1.sm; 60; 11; 4
j3010_1.sm; 60; 12; 0
j3010_1.sm; 60; 12; 1
j3010_1.sm; 60; 12; 2
j3010_1.sm; 60; 12; 3
j3010_1.sm; 60; 12; 4
j3010_1.sm; 60; 21; 2
j3010_1.sm; 60; 21; 3
j3010_1.sm; 60; 21; 4
j3010_1.sm; 61; 10; 1
j3010_1.sm; 61; 9; 1
j3010_1.sm; 63; 21; 0
j3010_1.sm; 63; 21; 1
j3010_1.sm; 65; 3; 3
j3010_1.sm; 6747; 0; 1
j3010_1.sm; 68; 10; 0
j3010_1.sm; 68; 9; 0
j3010_1.sm; 69; 3; 2
j3010_1.sm; 71; 3; 4
j3010_1.sm; 74; 3; 1
j3010_1.sm; 76; 15; 4
j3010_1.sm; 77; 15; 0
j3010_1.sm; 78; 15; 2
j3010_1.sm; 78; 16; 0
j3010_1.sm; 79; 3; 0
j3010_1.sm; 84; 15; 1
j3010_1.sm; 86; 2; 4
j3010_1.sm; 87; 15; 3
j3010_1.sm; 87; 16; 1
j3010_1.sm; 88; 16; 4
j3010_1.sm; 92; 16; 2
j3010_1.sm; 92; 16; 3
j3010_1.sm; 92; 2; 2
j3010_1.sm; 92; 2; 3
j3010_1.sm; 94; 2; 0
j3010_10.sm; 1001; 0; 0
j3010_10.sm; 41; Optimal; Time
j3010_10.sm; 49; 11; 4
j3010_10.sm; 4998; 0; 1
j3010_10.sm; 51; 12; 1
j3010_10.sm; 51; 12; 3
j3010_10.sm; 51; 21; 1
j3010_10.sm; 51; 21; 3
j3010_10.sm; 52; 10; 0
j3010_10.sm; 52; 10; 1
j3010_10.sm; 52; 10; 2
j3010_10.sm; 52; 10; 3
j3010_10.sm; 52; 10; 4
j3010_10.sm; 52; 11; 0
j3010_10.sm; 52; 11; 1
j3010_10.sm; 52; 11; 2
j3010_10.sm; 52; 11; 3
j3010_10.sm; 52; 9; 0
j3010_10.sm; 52; 9; 1
j3010_10.sm; 52; 9; 2
j3010_10.sm; 52; 9; 3
j3010_10.sm; 52; 9; 4
j3010_10.sm; 53; 12; 4
j3010_10.sm; 54; 12; 0
j3010_10.sm; 54; 21; 0
j3010_10.sm; 54; 21; 2
j3010_10.sm; 57; 12; 2
j3010_10.sm; 61; 21; 4
j3010_10.sm; 64; 15; 1
j3010_10.sm; 65; 15; 0
j3010_10.sm; 70; 15; 2
j3010_10.sm; 75; 15; 3
j3010_10.sm; 75; 15; 4
j3010_10.sm; 77; 16; 1
j3010_10.sm; 77; 16; 2
j3010_10.sm; 77; 16; 3
j3010_10.sm; 78; 16; 0
j3010_10.sm; 80; 16; 4
j3010_10.sm; 80; 2; 3
j3010_10.sm; 80; 3; 2
j3010_10.sm; 81; 2; 1
j3010_10.sm; 81; 2; 2
j3010_10.sm; 82; 2; 0
j3010_10.sm; 82; 3; 1
j3010_10.sm; 88; 2; 4
j3010_10.sm; 89; 3; 4
j3010_10.sm; 94; 3; 3
j3010_10.sm; 96; 3; 0
j3010_2.sm; 100; 15; 3
j3010_2.sm; 106; 15; 2
j3010_2.sm; 106; 15; 4
j3010_2.sm; 107; 2; 1
j3010_2.sm; 108; 10; 0
j3010_2.sm; 108; 10; 1
j3010_2.sm; 108; 9; 0
j3010_2.sm; 108; 9; 1
j3010_2.sm; 109; 2; 2
j3010_2.sm; 110; 16; 3
j3010_2.sm; 111; 3; 1
j3010_2.sm; 113; 2; 3
j3010_2.sm; 115; 2; 0
j3010_2.sm; 117; 3; 2
j3010_2.sm; 118; 15; 0
j3010_2.sm; 121; 3; 3
j3010_2.sm; 123; 15; 1
j3010_2.sm; 148; 3; 4
j3010_2.sm; 154; 16; 4
j3010_2.sm; 154; 2; 4
j3010_2.sm; 4868; 0; 1
j3010_2.sm; 56; Optimal; Time
j3010_2.sm; 68; 11; 4
j3010_2.sm; 69; 11; 3
j3010_2.sm; 72; 11; 2
j3010_2.sm; 72; 21; 4
j3010_2.sm; 74; 12; 4
j3010_2.sm; 75; 11; 0
j3010_2.sm; 75; 11; 1
j3010_2.sm; 76; 10; 2
j3010_2.sm; 76; 12; 3
j3010_2.sm; 76; 21; 3
j3010_2.sm; 78; 10; 3
j3010_2.sm; 78; 9; 3
j3010_2.sm; 79; 10; 4
j3010_2.sm; 79; 12; 0
j3010_2.sm; 79; 12; 1
j3010_2.sm; 79; 12; 2
j3010_2.sm; 79; 21; 0
j3010_2.sm; 79; 21; 1
j3010_2.sm; 79; 21; 2
j3010_2.sm; 79; 9; 4
j3010_2.sm; 80; 9; 2
j3010_2.sm; 90; 16; 2
j3010_2.sm; 96; 16; 0
j3010_2.sm; 96; 16; 1
j3010_2.sm; 99; 3; 0
j3010_2.sm; 994; 0; 0
j3010_3.sm; 106; 10; 3
j3010_3.sm; 106; 9; 3
j3010_3.sm; 107; 15; 1
j3010_3.sm; 107; 15; 4
j3010_3.sm; 109; 3; 2
j3010_3.sm; 1161; 0; 0
j3010_3.sm; 120; 2; 1
j3010_3.sm; 122; 3; 4
j3010_3.sm; 123; 15; 0
j3010_3.sm; 123; 15; 2
j3010_3.sm; 124; 3; 3
j3010_3.sm; 125; 3; 0
j3010_3.sm; 125; 3; 1
j3010_3.sm; 126; 15; 3
j3010_3.sm; 128; 16; 0
j3010_3.sm; 137; 16; 1
j3010_3.sm; 145; 16; 3
j3010_3.sm; 145; 16; 4
j3010_3.sm; 145; 2; 3
j3010_3.sm; 145; 2; 4
j3010_3.sm; 147; 16; 2
j3010_3.sm; 150; 2; 2
j3010_3.sm; 4861; 0; 1
j3010_3.sm; 62; Optimal; Time
j3010_3.sm; 73; 12; 3
j3010_3.sm; 73; 12; 4
j3010_3.sm; 73; 21; 3
j3010_3.sm; 77; 11; 3
j3010_3.sm; 79; 11; 0
j3010_3.sm; 79; 11; 1
j3010_3.sm; 79; 11; 2
j3010_3.sm; 80; 11; 4
j3010_3.sm; 81; 21; 4
j3010_3.sm; 83; 12; 0
j3010_3.sm; 83; 12; 1
j3010_3.sm; 83; 12; 2
j3010_3.sm; 83; 21; 0
j3010_3.sm; 83; 21; 1
j3010_3.sm; 83; 21; 2
j3010_3.sm; 85; 10; 4
j3010_3.sm; 85; 9; 4
j3010_3.sm; 90; 2; 0
j3010_3.sm; 92; 10; 0
j3010_3.sm; 92; 9; 0
j3010_3.sm; 93; 10; 1
j3010_3.sm; 93; 9; 1
j3010_3.sm; 98; 10; 2
j3010_3.sm; 98; 9; 2
j3010_4.sm; 102; 15; 1
j3010_4.sm; 107; 10; 1
j3010_4.sm; 107; 9; 1
j3010_4.sm; 108; 15; 3
j3010_4.sm; 111; 15; 0
j3010_4.sm; 111; 16; 0
j3010_4.sm; 113; 10; 0
j3010_4.sm; 113; 9; 0
j3010_4.sm; 115; 3; 3
j3010_4.sm; 120; 2; 4
j3010_4.sm; 125; 3; 4
j3010_4.sm; 126; 2; 1
j3010_4.sm; 129; 2; 3
j3010_4.sm; 130; 3; 0
j3010_4.sm; 130; 3; 2
j3010_4.sm; 131; 16; 4
j3010_4.sm; 134; 16; 1
j3010_4.sm; 135; 2; 2
j3010_4.sm; 139; 16; 2
j3010_4.sm; 139; 16; 3
j3010_4.sm; 142; 2; 0
j3010_4.sm; 142; 3; 1
j3010_4.sm; 4616; 0; 1
j3010_4.sm; 58; Optimal; Time
j3010_4.sm; 75; 10; 3
j3010_4.sm; 75; 10; 4
j3010_4.sm; 75; 9; 3
j3010_4.sm; 75; 9; 4
j3010_4.sm; 78; 12; 4
j3010_4.sm; 79; 11; 4
j3010_4.sm; 82; 10; 2
j3010_4.sm; 82; 9; 2
j3010_4.sm; 83; 11; 2
j3010_4.sm; 83; 11; 3
j3010_4.sm; 83; 12; 2
j3010_4.sm; 83; 12; 3
j3010_4.sm; 83; 21; 2
j3010_4.sm; 83; 21; 3
j3010_4.sm; 84; 21; 4
j3010_4.sm; 87; 15; 2
j3010_4.sm; 88; 11; 0
j3010_4.sm; 94; 21; 0
j3010_4.sm; 94; 21; 1
j3010_4.sm; 95; 11; 1
j3010_4.sm; 95; 12; 0
j3010_4.sm; 95; 12; 1
j3010_4.sm; 950; 0; 0
j3010_4.sm; 98; 15; 4
j3010_5.sm; 2975; 0; 1
j3010_5.sm; 41; Optimal; Time
j3010_5.sm; 50; 11; 2
j3010_5.sm; 50; 11; 3
j3010_5.sm; 50; 11; 4
j3010_5.sm; 50; 9; 3
j3010_5.sm; 52; 10; 3
j3010_5.sm; 55; 10; 0
j3010_5.sm; 55; 10; 1
j3010_5.sm; 55; 10; 2
j3010_5.sm; 55; 11; 1
j3010_5.sm; 55; 12; 2
j3010_5.sm; 55; 9; 0
j3010_5.sm; 55; 9; 1
j3010_5.sm; 55; 9; 2
j3010_5.sm; 59; 10; 4
j3010_5.sm; 59; 11; 0
j3010_5.sm; 59; 9; 4
j3010_5.sm; 60; 12; 0
j3010_5.sm; 60; 21; 2
j3010_5.sm; 61; 12; 3
j3010_5.sm; 61; 12; 4
j3010_5.sm; 61; 21; 3
j3010_5.sm; 61; 21; 4
j3010_5.sm; 62; 12; 1
j3010_5.sm; 62; 21; 0
j3010_5.sm; 63; 15; 2
j3010_5.sm; 64; 21; 1
j3010_5.sm; 65; 16; 3
j3010_5.sm; 65; 16; 4
j3010_5.sm; 65; 2; 3
j3010_5.sm; 65; 2; 4
j3010_5.sm; 678; 0; 0
j3010_5.sm; 69; 16; 0
j3010_5.sm; 69; 16; 1
j3010_5.sm; 69; 16; 2
j3010_5.sm; 69; 2; 2
j3010_5.sm; 72; 15; 4
j3010_5.sm; 72; 3; 0
j3010_5.sm; 72; 3; 2
j3010_5.sm; 72; 3; 4
j3010_5.sm; 73; 3; 3
j3010_5.sm; 74; 2; 0
j3010_5.sm; 74; 2; 1
j3010_5.sm; 74; 3; 1
j3010_5.sm; 78; 15; 1
j3010_5.sm; 79; 15; 3
j3010_5.sm; 81; 15; 0
j3010_6.sm; 1226; 0; 0
j3010_6.sm; 44; Optimal; Time
j3010_6.sm; 50; 12; 3
j3010_6.sm; 51; 12; 2
j3010_6.sm; 53; 11; 1
j3010_6.sm; 53; 11; 2
j3010_6.sm; 53; 12; 1
j3010_6.sm; 54; 21; 3
j3010_6.sm; 55; 10; 2
j3010_6.sm; 55; 9; 2
j3010_6.sm; 56; 12; 4
j3010_6.sm; 56; 21; 4
j3010_6.sm; 58; 21; 1
j3010_6.sm; 60; 11; 4
j3010_6.sm; 62; 10; 1
j3010_6.sm; 62; 11; 0
j3010_6.sm; 62; 9; 1
j3010_6.sm; 63; 11; 3
j3010_6.sm; 64; 15; 4
j3010_6.sm; 65; 12; 0
j3010_6.sm; 65; 21; 0
j3010_6.sm; 65; 21; 2
j3010_6.sm; 66; 10; 0
j3010_6.sm; 66; 10; 4
j3010_6.sm; 66; 9; 0
j3010_6.sm; 66; 9; 4
